End of Period,Cash on Hand,Due from Central Bank,Due from Domestic Banks,Cash Items in Process of Collection,Foreign Currency on Hand and Balances Due from Banks,Investments_Govt.of Sri Lanka_Treasury Bills,Investments_Govt.of Sri Lanka_Treasury Bonds (b),Investments_Govt.of Sri Lanka_Other Govt. of Sri Lanka Securities,Investments_Other Investments (c),Loans and Advances_Bills Purchased and Discounted_Local,Loans and Advances_Bills Purchased and Discounted_Imports,Loans and Advances_Bills Purchased and Discounted_Exports,Loans and Advances_Overdrafts,Loans and Advances_Loans,Loans and Advances_Total Loans and Advance (b),Fixed and Other Assets,Total Assets or Liabilities,Percentage of Liquid Assets to Demand Deposits,Percentage of Loans & Advances to Total Deposits
1999-02-01,6232.015778,30938.898945,12717.620809,8155.371227,59626.331199,10423.093606,7387.932285,340.389442,13480.17864043,12.708566,22827.794199,6493.328894,78214.525843,156075.574375,263623.931877,97611.878317,510537.64212543005,250.43152574481834,76.12686192933296
1999-03-01,9945.316635,30630.087389,8793.824896,8465.124072,58552.403186,8766.682259,4496.637154,340.389442,13417.20959843,13.776323,22813.787059,6520.559464,84626.383452,155463.552343,269438.05864099995,98065.017775,510910.75104743,243.94823331252678,77.65927575464687
1999-04-01,9198.409118,29633.708074,12778.977969,13223.295116,60309.197063,8271.557175,5061.071151,340.389442,13438.45595043,17.256152,25191.995389,6510.833724,88213.750785,157506.656615,277440.492665,103703.410317,533398.96404043,239.11669565108372,79.32825053701485
1999-05-01,8279.514247,27277.117952,11520.606219,11913.066124,62694.20286,7403.441719,6170.254395,340.389442,13528.36209443,13.474094,26303.134954,6241.516434,86379.294786,160732.369651,279669.789919,105600.557048,534397.3020194301,240.44527794626228,79.02852530413514
1999-06-01,9470.118943,28811.599122,10851.001182,8846.482595,58413.455644,7709.559611,8851.812925,340.389442,13718.32839543,9.194638,25125.035108,6213.345235,83303.463309,163834.838676,278485.876966,102498.271678,527996.89650343,242.95185487046248,78.01959092688709
1999-07-01,8384.349258,29546.130814,11866.960915,8949.897477,60194.016483,10006.514528,8498.314901,340.389442,13925.06907943,11.102981,24316.24733,6930.664131,84651.945193,164815.549529,280725.50916400005,106227.509955,538664.66201643,250.036636049074,77.8875419729692
1999-08-01,9827.69273774,25887.0441634,14373.526816,8171.636322,60046.13340184,6765.593062,8581.982742,340.389442,13832.46942243,10.516127,23648.75020834,7129.809825450001,85710.91991899001,167331.03497,283831.03104978,108358.48118461999,540015.98034381,236.98308347491155,78.45623361270023
1999-09-01,8980.096919459998,27642.81802509,14256.513225,7885.815227,61356.00893622,8191.99444528,8744.742151,88.218642,14367.29367943,9.927239,23944.69535986,7492.8535269700005,86716.29927385,169654.44226187,287818.21766155,103110.18606865,542441.90498068,242.64353623670985,78.46292912290447
1999-10-01,8251.54679,32038.227331,15121.101465,8288.056266,66139.368915,7867.865278,7295.183931,88.218642,13953.399387,8.753713,22688.196925,6774.896728,85643.67031,173803.487406,288919.005082,101771.47800564999,549733.45109265,255.64404237193318,77.60358113748288
1999-11-01,9772.31371,30463.6657855,12474.904299,10582.179189,66843.8433335,9441.157809,8679.876446,88.218642,13988.866503,17.150563,23398.468561,6436.901475,86549.989303,179344.890651,295747.400553,100476.228757,558558.6550269999,249.91344228240231,77.80882047024078
1999-12-01,11728.82559,28381.433202,14585.638949,8967.549794,69853.627988,11627.599369,7503.132857,88.218642,13554.219068,8.256988,22122.654748,6462.956361,91956.507056,184264.734845,304815.10999799997,99750.047274,570855.402731,246.35656662171579,78.24234545542652
2000-01-01,9951.248735,29472.407671,15432.913228,10576.920607,71605.927866,11844.422871,8827.232608,88.218642,13446.525453,10.169602,23363.266225,6498.882751,87982.454591,182573.253495,300428.026664,104971.545516,576645.389861,252.31174169248237,76.42461533278345
2000-02-01,9319.89666059,29122.89593409,12831.579522,8963.405168,73700.74576161,15608.090763,9439.759722,88.218642,14195.251391,13.7665645,24758.536024,6697.31810045,86996.79736152,185269.91930108,303736.33735155,105413.39538275999,582419.5762986,262.3382736966242,76.30435404265248
2000-03-01,10240.57260856,32953.15858755,12265.49369,7888.201878,75957.69585070999,7965.377685,7657.381355,88.298642,14707.505519,9.183001,23106.372473,7139.411562969999,94770.88399322999,188020.38053793,313046.23156812997,104981.64790862,587751.5652925699,261.09329794195634,78.46550750779375
