End of Period,Cash on Hand,Due from Central Bank,Due from Domestic Banks,Cash Items in Process of Collection,Foreign Currency on Hand and Balances Due from Banks,Investments_Govt.of Sri Lanka_Treasury Bills,Investments_Govt.of Sri Lanka_Treasury Bonds (b),Investments_Govt.of Sri Lanka_Other Govt. of Sri Lanka Securities,Investments_Other Investments (c),Loans and Advances_Bills Purchased and Discounted_Local,Loans and Advances_Bills Purchased and Discounted_Imports,Loans and Advances_Bills Purchased and Discounted_Exports,Loans and Advances_Overdrafts,Loans and Advances_Loans,Loans and Advances_Total Loans and Advance (b),Fixed and Other Assets,Total Assets or Liabilities,Percentage of Liquid Assets to Demand Deposits,Percentage of Loans & Advances to Total Deposits
1995-12-01,4485.994742,30962.845475,6049.143434,8310.739411,21834.527403,11551.804656,0.0,752.531031,6962.320944,217.671026,8970.114563,5610.733118,64525.614639,107668.216861,186992.35020699998,57611.330171,335513.58747399994,196.56479005240664,81.9410039349653
1996-01-01,5321.885264,28540.250316,2566.946471,8566.321166,20271.248845,15163.488061,0.0,896.039281,7311.374896,157.80518,11732.115055,5545.114999,63545.408192,110364.21197,191344.65539600002,56752.356275,336734.565971,205.31428835633645,83.58231840318454
1996-02-01,5233.078876,31181.86592,6562.955123,7595.766277,19990.897988,18088.356537,0.0,759.053253,7632.867467,155.881856,12873.676457,6107.589001,60824.734614,111973.740906,191935.622834,58239.449111,347219.91338600003,215.837057336021,82.51504051682919
1996-03-01,4641.400617,29368.574536,5027.76551,7565.878078,18965.13864,19242.785918,0.0,759.053253,8099.129313,124.672808,12054.457977,5810.352719,60997.787489,115939.943813,194927.214806,63218.209269,351815.14994000003,196.9889571800196,82.62174323819782
1996-04-01,6626.125783,30124.069395,5158.832911,8017.791223,19631.999307,22017.640439,0.0,847.232456,8320.494425,122.58395,11744.706956,5619.248844,60193.051007,117167.043799,194846.634556,61626.328338,357217.148833,206.40786373244458,80.4605723923316
1996-05-01,5366.342086,33452.456203,4678.433377,7898.94062,22585.653148,19079.140026,0.0,847.232456,8965.036085,126.659298,10975.925749,5540.253496,62662.313385,118541.01723,197846.169158,57669.070038,358388.473197,220.23266717715518,81.35695737805314
1996-06-01,5022.446631,30335.136372,5176.605914,7620.611306,26049.314887,16435.970924,0.0,840.399031,9144.91321,120.769853,9472.931924,5492.800987,62759.524011,120021.081065,197867.10784,57997.162142,356489.668257,223.0037862167618,82.2696241295702
1996-07-01,5661.473162,31466.552487,5028.450041,9562.970283,24838.39384,14769.749974,0.0,840.399031,11036.603594,168.31016,11788.714414,5644.529073,64275.504052,119678.725843,201555.783542,61102.912211,365863.288165,212.55736069142782,82.96579728363947
1996-08-01,5099.046763,31190.827733,5170.545382,7700.464039,25686.563415,15556.180894,0.0,840.399031,10160.343335,148.199882,11693.574734,6412.254364,64873.31196,122221.780118,205349.121058,58690.72655,365444.2182,222.09181382018082,84.60778415361298
1996-09-01,5938.929553,32907.754181,4926.410816,9601.972189,23913.049605,14633.322388,0.0,840.399031,10547.22655,179.925235,11510.16137,6075.293935,65902.413592,125527.922351,209195.716483,60640.019966,373144.80076199997,205.69610514820843,84.49654706944345
1996-10-01,5497.835167,27683.159401,5918.1175,5581.909929,21938.527213,17601.944935,0.0,840.399031,10690.423783,122.461632,10430.728372,6186.196309,64542.477038,121331.330777,202613.194128,77357.037112,375722.548199,204.20814902067463,81.45157413198852
1996-11-01,5048.814965,32562.360805,7817.903763,5195.429808,22564.716786,13727.886516,0.0,840.399031,10617.915322,128.005938,10155.234737,6647.717673,66863.503181,117715.284614,201509.746143,78812.250878,378697.42401699995,200.47359991457947,80.02105358716533
1996-12-01,6914.981796,34272.890262,7054.089912,7863.746782,22245.640496,15530.047989,0.0,840.399031,10582.167842,138.115575,12386.346162,6204.990274,65949.581255,117743.058141,202422.091407,82070.317542,389796.373059,199.93128819722068,77.28889095656076
1997-01-01,5839.95391,30082.513801,6800.574212,5265.429289,24199.201428,17770.142405,0.0,840.399031,10887.782616,117.699812,12463.624422,6409.772585,64469.175282,120042.115405,203502.387506,82797.009036,387985.39323399996,203.70662412713128,77.79530054822735
1997-02-01,5332.95616,32188.480654,7285.507589,5274.29425,25015.151175,16457.63687,0.0,840.399031,11080.887517,81.236137,12147.593998,6344.675697,67687.037857,121167.920141,207428.46383,80492.299545,391396.076621,214.5261486012702,79.11503873203058
1997-03-01,6353.694319,19906.361488,8548.532785,5571.183558,26267.344612,26308.31603,85.0,840.399031,11462.79915,80.772123,13571.848868,6671.344498,67386.211122,124967.275342,212677.45195299998,84473.385467,402494.468393,213.1057979597448,79.7407050408896
1997-04-01,7946.585686,24868.420334,8021.69913,4855.395161,28983.132192,23688.359664,456.2012,840.399031,11525.966883,81.497371,14011.652262,6937.652629,65769.040052,125847.543065,212647.38537899998,78795.467463,402629.012123,230.2123065013261,79.21315787466693
1997-05-01,6268.33313,31192.804779,8605.847273,6518.723409,28010.032084,20409.425986,859.976089,840.389442,11349.407556,79.361754,13351.037426,6730.790437,67103.124876,125259.678042,212523.992535,83818.27645,410397.208733,222.37716219319307,78.3840117437934
1997-06-01,6746.864011,29054.032987,8084.208818,7276.284144,30302.523504,21307.316336,779.941458,840.389442,11608.168418,93.615358,12431.123534,6762.566785,68428.222722,127566.944754,215282.473153,83518.511203,414800.713474,228.16348383582002,78.70398692522782
1997-07-01,6343.27229,25936.05342,8395.742449,6769.611109,31698.827096,24323.655185,946.086154,840.389442,11902.926223,109.658615,12891.092962,6424.05314,67432.860681,128846.896208,215704.561606,86765.286084,419626.41105800006,221.7992976024019,77.1618725925896
1997-08-01,5735.410222,29582.479875,7606.655793,5286.545207,31681.12045,29052.798591,1136.579148,840.389442,11878.730546,80.868206,11195.932539,7097.640506,67174.171991,130173.154601,215721.767843,83296.773346,421819.25046300003,241.34715496270402,76.59018292956509
1997-09-01,6679.261008,29671.669459,5768.749824,6734.616478,32307.273223,32676.889634,1256.446282,840.389442,12833.661025,83.337837,10279.346598,7057.22233,65489.459274,132171.346321,215080.71236,85492.123674,429341.79240900005,244.21007870592305,74.83408411515569
1997-10-01,6443.718908,29982.995268,4970.669526,9277.036337,35776.815808,27364.240488,1509.181985,840.389442,12330.918326,76.694458,11236.794149,7617.256771,65996.207487,132305.114573,217232.067438,88735.616944,434463.65047,243.65836625483243,75.03435938513257
1997-11-01,6166.58861,29047.533088,4253.33687,6103.008766,36567.006408,28531.343211,1781.009004,840.389442,12366.523467,76.022281,12566.711368,7666.594445,68533.194336,134059.911453,222902.433883,85362.152463,433921.32521200005,249.15655206865105,76.18483522484298
1997-12-01,7454.837335,29045.173572,6519.164416,7538.419942,41631.014755,20489.950161,1775.641415,840.389442,12300.52569,76.818641,13458.551204,6964.934272,71976.859711,137711.026724,230188.190552,85007.255607,442790.562887,229.39480473103396,76.15949721238887
1998-01-01,6159.689774979999,23549.96651223,9079.829674,7582.521071,43830.82112656,19824.640272369998,2542.618391,840.389442,12004.385251,87.463224,14250.102064,7389.63939092,70641.76319394,138671.04765713,231040.01552999,94257.249877,450712.12692213,228.35138668573154,76.3342998605009
1998-02-01,6400.110735,30123.591219,9724.471968,6367.68521,45421.469021,16858.580635,2279.98728,340.389442,12448.32274,75.355648,13592.017056,7591.811691,71838.407963,139312.052126,232409.644484,88984.2174,451358.47013399994,248.04127031016392,76.92669532150325
1998-03-01,8419.359965,28549.790239,7553.809993,5956.461883,47570.212788,17060.726127,2498.887541,340.389442,12643.573134,73.637749,14409.838869,7777.570694,72630.730772,139993.730461,234885.508545,96937.307763,462416.02742,233.92716904862291,76.05780016631508
1998-04-01,8221.259344,28016.6936,9972.788506,4405.827141,43913.3352,18493.872075,2303.946315,340.389442,12503.762226,13.537278,16291.60986,7009.37658,73304.928676,142769.939694,239389.392088,95952.473061,463513.738998,236.61327963433175,76.81268830748228
1998-05-01,7425.972864,31150.419609,10829.225166,6716.387509,45571.141683,17730.704751,2456.961501,340.389442,13005.842777,14.491702,16619.968293,6920.273424,73039.560785,144232.848416,240827.14262,92034.779772,468088.96769399993,228.9144886851535,76.03496610918968
1998-06-01,8029.357328,28049.592222,10067.91966,6869.533787,42284.4261,17466.943272,2487.754246,340.389442,13139.895199,16.577303,18004.152436,7720.333992,73922.725859,144708.478714,244372.268304,89847.777521,462955.85708100005,230.72345896211132,77.39105577043574
1998-07-01,7912.422252,30642.382976,9257.077117,8549.626684,44302.292012,13415.44507,3545.880822,340.389442,13100.574717,12.968458,18770.628009,8005.561142,76537.379276,142673.730382,246000.26726700002,99360.050598,476426.408957,231.87557431459686,77.8803586425696
1998-08-01,8253.673648,31982.224927,8928.841169,7267.970313,47335.614467,12083.422481,5102.792847,340.389442,12905.925034,14.382366,20287.308399,7926.459184,75107.338408,145650.238769,248985.72712599998,94174.101577,477360.68303099996,238.7947887935032,78.71411683557882
1998-09-01,8315.430773,30395.5317,11565.993357,7438.187003,46456.447648,11715.737284,4796.595303,340.389442,12818.308713,14.0118,18317.448727,7766.019576,77537.985152,146263.032705,249898.49795999998,96393.980294,480135.099477,221.36628927354815,77.80141877465883
1998-10-01,7377.688934,30570.177918,10034.201751,7671.330519,49761.593768,14276.698034,3086.387948,340.389442,12945.560618,10.839696,19487.360878,7121.225628,77429.964558,150403.479948,254452.870708,95035.704039,485552.60367899993,243.38913050342722,78.2771271448362
1998-11-01,7784.07257,29855.372567,11002.212586,7865.999294,50906.23732,11628.271819,5414.061261,340.389442,13065.949854,15.916436,19326.147834,7433.495839,79481.230851,150350.270915,256607.061875,98313.891957,492783.52054500004,226.79612035090935,77.21313053898098
1998-12-01,8319.71817326,31347.718958,11803.1441,8201.704067,52227.18359008,13552.168049,5008.298939,340.389442,13312.99415943,11.080532,21145.946665,6815.2239586099995,82223.92043093,153580.074249,263776.24583554,93793.22708167999,501682.79239499,241.8788379669327,77.70507094326977
1999-01-01,7827.998903,28621.935354,11500.763608,8007.910655,52892.530092,12572.024031,6218.185019,340.389442,13502.83271643,12.105147,23303.377112,6341.662708,78918.577173,155163.50818,263739.23032,98199.949682,503423.74982243,238.22615059569944,77.31828884357697
