End of Period,Paid-up Capital,Demand Deposits_Inter-Bank_Domestic,Demand Deposits_Inter-Bank_Foreign,Demand Deposits_Govt. of Sri Lanka,Demand Deposits_Resident Constituents,Demand Deposits_Non Resident Constituents,Time and Savings Deposits_Govt. of Sri Lanka,Time and Savings Deposits_Resident Constituents,Time and Savings Deposits_Non Resident Constituents,Total All Deposits_Demand,Total All Deposits_Time and Savings,Borrowings_Domestic InterBank (h),Borrowings_Foreign,Other Liabilities
1999-11-01,50316.821042,36.373993,498.910897,9980.324964,50196.155928,1367.440428,1031.648838,246283.91916693,70736.55400773001,62079.206210000004,318052.12201266,29767.272436,6837.68632,91505.547006
1999-12-01,51570.804367,124.75996,658.647917,11603.188458,50058.702899,1687.694509,1063.329514,249521.826432,74984.796129,64132.993743000006,325569.95207500004,32833.014596,4380.688489,92367.949461
2000-01-01,53342.207802,41.285322,551.807296,9929.418532,52011.850239,1544.196731,703.854651,251992.5161,76370.103661,64078.55812,329066.47441200004,30838.084479,5838.938012,93481.127036
2000-02-01,53180.26315385,42.477669,638.96348946,11204.734077,50693.166309,1754.55923777,653.256123,254533.43855381,78580.86739155,64333.90078223,333767.56206836,28524.957644,6374.294498,96238.59815162
2000-03-01,53266.35598829,29.462208,518.7178721,9388.336608,51108.148834379994,2191.76309355,605.46728,256482.90782359,78664.96794286999,63236.42861602999,335753.34304646,28741.577222,7083.996664,99669.86375539999
2000-04-01,53183.88403335,156.974871,430.86722,7820.48332,51661.1650696,2378.528284,710.763733,259608.294626,75641.767746,62448.0187646,335960.826105,32810.166661,6394.548117,102630.086958
2000-05-01,53447.60415735,168.379844,419.163242,7932.410875,50134.5109816,1675.157841,750.01786,258780.744994,77025.143728,60329.622783599996,336555.90658199997,36312.934051,5364.514772,97485.927835
2000-06-01,52789.71091306,152.774128,537.73646537,9073.390827,51951.391206479995,2070.04189089,620.979687,261865.45117394,77941.25215165,63785.33451774,340427.68301259005,40001.836187,5385.16029364,102181.17479664001
2000-07-01,52338.72325607,151.59358,434.16942387,8292.166975,51477.53891595,2085.61739398,630.945894,265594.30170022,77969.38915679,62441.0862888,344194.63675100997,37556.202564,4072.100846,90896.25135215
2000-08-01,52706.13040081,163.557868,520.73303294,8858.682379,51569.66552458,2097.6895149800002,662.438688,267531.5343579,78807.85964227,63210.3283195,347001.83268817,48517.617845,3793.57284084,95029.47295809
2000-09-01,52564.91467809,158.661153,463.97596622000003,9270.153536,52141.25704685,1859.6734705,605.570859,271873.35143723,79391.21279313,63893.721172569996,351870.13508936006,41202.330837,3909.17182669,96722.07996702
2000-10-01,51970.84163635,167.626044,508.168569,9003.338093,53952.874351599996,2033.333147,615.573844,276062.467106,80960.366958,65665.3402046,357638.407908,52636.103274,3404.618601,106195.570314
2000-11-01,51755.41843177,176.034515,531.94216087,8825.136415,50665.928223309995,1740.97879662,611.892029,278491.19315544,83894.25048187,61940.0201108,362997.3356663099,56013.405081,6377.89146645,100228.99394287
2000-12-01,51807.67082511,161.526291,387.87774733,12392.73954,55788.39871297,1711.06217076,763.745585,286191.90035282,88268.67127829001,70441.60446206,375224.31721611007,66643.314229,5951.8119564,107612.68272797999
2001-01-01,55196.46492201999,190.591214,456.94925597,8971.46408,52432.92820204,1855.11057429,752.768265,287287.05565492,95182.64715954,63907.0433263,383222.47107946,60112.919025,5890.64019101,107204.59982798
2001-02-01,46866.62143703,280.709455,521.3168366,28919.576191,51933.445700309996,1865.3393074100002,780.941032,289316.95557176,94316.12349495999,83520.38749031999,384414.02009872,41634.880253,5654.959378,135285.12492713
2001-03-01,46828.319833839996,100.377308,453.32758213,21948.27069,51486.03043149,2065.70029104,780.842886,290015.3815192,93054.06417994,76053.70630266001,383850.28858514,43260.939244,6405.074361,133640.84908195
2001-04-01,46583.18879525,118.887656,497.89550387,20748.677724,53958.6311784,2262.2113443000003,1739.784538,292874.5275075,96783.72730760998,77586.30340657,391398.03935311,45624.994616,7281.03092664,131887.3373566
2001-05-01,45625.978591980005,118.026121,475.776841,21105.745967,51029.192194699994,1927.5537493699999,781.527951,295948.56880819,99815.12394426999,74656.29487306999,396545.22070346004,48071.160694,8491.92834527,119248.06660377
2001-06-01,44961.590260029996,108.180567,459.89846236,20260.550711,48931.65342611999,1955.99179577,878.194602,296977.22457407997,98511.98680331999,71716.27496224998,396367.4059794,47631.356814,7993.22524372,118007.36570743
2001-07-01,45100.61623154,118.499835,708.35136511,21897.454319,49722.962169629995,1906.3914492800002,941.693917,300984.68490552995,98809.88225648,74353.65913801998,400736.26107901,50181.838897,6524.70770044,115273.580799
2001-08-01,45272.440588,107.09062,491.243019,21848.762906,49688.3859026,1810.4681209,1037.28498,303575.026809,99017.10904,73945.95056849999,403629.420829,47364.173217,7012.777889,115698.492144
2001-09-01,44932.40083239,116.976076,676.542585,21833.000763,51018.51781643999,1764.65212108,1096.239562,309322.22208489,98372.56308608,75409.68936152,408791.02473297,52335.995536,7972.8888701999995,120346.34521806
2001-10-01,46028.072634767996,41.682773,477.32535120999995,23767.025957,50916.62167314,1714.89329306,1092.554655,314874.18662326003,99462.26146286,76917.54904741,415429.00274112,50188.773593,6246.00371783,121405.37108894999
2001-11-01,46071.91635158,57.090971,446.00946177,25041.970375,53373.02270051,1816.7466446100002,1147.149619,318631.22171280003,101892.08899232998,80734.84015289,421670.46032413,52266.247149,8808.34074153,121060.74502952001
2001-12-01,44520.10241171,26.812482,526.20190637,24985.222165,56665.24017774,2169.4809668800003,1320.848234,328516.41236257,104610.92440182998,84372.95769799,434448.1849983999,57815.5212135,4916.010835229999,115082.72316384
2002-01-01,47541.38628861,45.63617,560.05835897,24562.221871,56409.55846788,1838.3168937799999,1349.874028,331596.95566359995,104641.92574635998,83415.79176163,437588.7554379599,54532.484147,5555.45499546,118246.44653967
2002-02-01,47177.363497620005,119.385917,468.04512338999996,21227.245234,55605.203154129995,1850.46109502,1302.06258,335755.90870268,106412.5238647,79270.34052354,443470.49514738005,48875.09566,4571.4025805,116769.904964
2002-03-01,47000.23118883,301.214355,582.15730161,25425.552357,55114.95141887,2035.41697383,1322.785516,340424.80970203003,110198.05976182998,83459.29240630999,451945.65497986,51587.126272,4839.619338699999,118114.13261433
2002-04-01,47261.81015413,190.644651,687.1060282799999,23761.277323,55795.366213739995,1833.3471001599999,1538.734795,344471.51721239,114132.44723925,82267.74131617999,460142.69924664,54574.327544,3898.216419,121184.23402888
2002-05-01,47398.344937739996,204.209531,838.40902,22274.132328,57732.10626724,1842.1817359200002,1608.270613,344693.9166,114487.22201126999,82891.03888216,460789.40922426997,55816.196271,3814.084114,119325.516426
2002-06-01,47671.51903074,277.04469,772.332941,9245.407472,56494.719624239995,1747.870776,1593.351841,350786.018413,114357.57898426999,68537.37550324,466736.94923827,52861.558286,3074.004518,121265.445404
2002-07-01,46774.29453844,301.41328,514.037341,9574.9366,59278.33486124,1598.708602,1672.728114,353962.709883,116071.366092,71267.43068424,471706.804089,54745.80483,3417.239665,119142.8378
2002-08-01,47916.60415944,198.695387,500.053394,9428.704274,58728.522945239994,1497.787447,1616.85219,356331.501524,117027.136899,70353.76344724,474975.490613,51618.868829,3092.603565,120577.059111
2002-09-01,50450.522036,39.662577,1145.557988,9970.191734,58788.67381424,1532.244624,1627.995342,359511.068894,117422.250232,71476.33073724,478561.314468,51531.766046,3421.798532,123289.821235
2002-10-01,50024.61681,50.811148,763.806522,9951.013052,59283.03353124,1486.179204,1639.961265,364440.188748,117149.65582,71534.84345724,483229.805833,48770.318957,1875.880381,119910.465137
2002-11-01,50553.872026,82.96019,1224.861557,10429.538135,60004.08161124,1336.544823,1696.871087,367831.546029,118307.263036,73077.98631624,487835.68015200004,43456.084755,3087.07464,114245.813895
2002-12-01,51769.828729,42.242536,1812.647415,12839.25064,64052.40205924,1629.771349,1670.783685,371033.458801,120147.818306,80376.31399924,492852.0607919999,40919.998027,2825.771414,119281.675027
2003-01-01,54879.706124,67.508509,1795.439065,9851.619405,62207.59081324,1777.791072,1686.764233,376959.219232,121533.812583,75699.94886424,500179.796048,37755.042815,3421.494065,119572.402466
2003-02-01,55006.084862,55.770919,2284.800572,10316.098705,62285.90946324,1623.736316,1681.780673,380351.290261,122819.197383,76566.31597524,504852.26831699995,36431.674567,3564.395724,121399.477676
2003-03-01,54319.316896,69.253535,729.871188,11533.43716,64306.17323124,1842.208201,1607.70546,383470.171079,124434.223677,78480.94331524,509512.100216,37417.14215,2891.125215,127743.041505
